web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723586088-3661","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Alex Len","WAS","28","C","63","63","100","271","571","47.5","49.9","-2.4"
"1723586088-3662","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Deni Avdija","WAS","20","F","53","53","100","274","568","48.2","47.0","1.3"
"1723586088-3663","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Raul Neto","WAS","29","G","63","63","100","275","565","48.7","45.6","3.1"
"1723586088-3664","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Blake Griffin","BKN","32","F","46","46","100","268","565","47.4","48.6","-1.2"
"1723586088-3665","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Bogdan Bogdanovic","ATL","28","G","44","44","100","257","563","45.6","45.5","0.1"
"1723586088-3666","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Theo Maledon","OKC","20","G","64","64","100","273","561","48.7","45.3","3.3"
"1723586088-3667","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Sterling Brown","HOU","26","G-F","51","51","100","285","560","50.9","46.1","4.8"
"1723586088-3668","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jordan Clarkson","UTA","29","G","68","68","100","255","560","45.5","45.2","0.3"
"1723586088-3669","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Rudy Gay","SAS","34","F-G","63","63","100","242","559","43.3","46.3","-3.0"
"1723586088-3670","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Will Barton","DEN","30","G","54","54","100","280","558","50.2","46.3","3.9"
"1723586088-3671","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Kawhi Leonard","LAC","30","F","52","52","100","273","557","49.0","47.0","2.0"
"1723586088-3672","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Brandon Clarke","MEM","24","F","59","59","100","266","555","47.9","47.7","0.3"
"1723586088-3673","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Facundo Campazzo","DEN","30","G","63","63","100","248","552","44.9","45.2","-0.3"
"1723586088-3674","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","James Harden","BKN","31","G","44","44","100","255","551","46.3","46.8","-0.5"
"1723586088-3675","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jerami Grant","DET","27","F","54","54","100","259","550","47.1","47.6","-0.6"
"1723586088-3676","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Davis Bertans","WAS","28","F","56","56","100","245","550","44.5","45.7","-1.1"
"1723586088-3677","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Mike Conley","UTA","33","G","51","51","100","239","548","43.6","44.9","-1.3"
"1723586088-3678","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Josh Richardson","DAL","27","G","59","59","100","252","544","46.3","45.9","0.4"
"1723586088-3679","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Moses Brown","BOS","21","C","41","41","100","272","544","50.0","48.3","1.7"
"1723586088-3680","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Doug McDermott","IND","29","F","65","65","100","258","544","47.4","46.7","0.8"
"1723586088-3681","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Patty Mills","SAS","32","G","67","67","100","256","538","47.6","45.2","2.4"
"1723586088-3682","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Landry Shamet","BKN","24","G","61","61","100","281","537","52.3","45.8","6.5"
"1723586088-3683","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Terance Mann","LAC","24","G-F","62","62","100","258","536","48.1","45.8","2.3"
"1723586088-3684","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Kenrich Williams","OKC","26","G-F","63","63","100","247","535","46.2","46.0","0.2"
"1723586088-3685","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Cody Zeller","CHA","28","F-C","47","47","100","255","532","47.9","48.8","-0.8"
"1723586088-3686","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Jalen Brunson","DAL","24","G","68","68","100","246","531","46.3","45.0","1.3"
"1723586088-3687","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Joe Ingles","UTA","33","F-G","67","67","100","229","531","43.1","45.7","-2.6"
"1723586088-3688","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Matisse Thybulle","PHI","24","G-F","64","64","100","220","528","41.7","44.9","-3.3"
"1723586088-3689","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Danilo Gallinari","ATL","32","F","51","51","100","256","528","48.5","46.8","1.7"
"1723586088-3690","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Talen Horton-Tucker","LAL","20","G","65","65","100","233","527","44.2","45.8","-1.6"
"1723586088-3691","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Seth Curry","PHI","30","G","57","57","100","251","527","47.6","44.9","2.8"
"1723586088-3692","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Juan Toscano-Anderson","GSW","28","F","51","51","100","252","525","48.0","46.8","1.2"
"1723586088-3693","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Carmelo Anthony","POR","37","F","66","66","100","242","525","46.1","46.2","-0.1"
"1723586088-3694","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","P.J. Tucker","MIL","36","F","52","52","100","258","523","49.3","47.5","1.9"
"1723586088-3695","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Aron Baynes","TOR","34","C-F","52","52","100","239","521","45.9","49.1","-3.2"
"1723586088-3696","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Paul Millsap","DEN","36","F","55","55","100","256","521","49.1","47.4","1.8"
"1723586088-3697","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Robert Williams III","BOS","23","C-F","52","52","100","239","516","46.3","48.3","-2.0"
"1723586088-3698","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Donovan Mitchell","UTA","24","G","53","53","100","250","512","48.8","45.5","3.3"
"1723586088-3699","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Evan Fournier","BOS","28","G-F","41","41","100","243","511","47.6","46.4","1.1"
"1723586088-3700","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Anthony Davis","LAL","28","F-C","36","36","100","231","509","45.4","47.9","-2.5"
"1723586088-3701","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Josh Okogie","MIN","22","G","58","58","100","250","508","49.2","47.2","2.0"
"1723586088-3702","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","DeMar DeRozan","SAS","31","G-F","61","61","100","253","508","49.8","46.3","3.5"
"1723586088-3703","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Lonnie Walker IV","SAS","22","G-F","60","60","100","252","506","49.8","45.7","4.1"
"1723586088-3704","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Stephen Curry","GSW","33","G","62","62","100","230","505","45.5","45.3","0.3"
"1723586088-3705","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Derrick White","SAS","26","G","36","36","100","236","505","46.7","46.4","0.3"
"1723586088-3706","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Derrick Jones Jr.","POR","24","F","56","56","100","236","503","46.9","46.9","0.0"
"1723586088-3707","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","Willie Cauley-Stein","DAL","27","C","53","53","100","233","503","46.3","48.4","-2.1"
"1723586088-3708","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2020-21","","OG Anunoby","TOR","23","F","43","43","100","218","503","43.3","47.3","-3.9"
